town,score,number_of_posts
"Northport, AL",0.34163576119402983,10052
"Vestavia Hills, AL",0.26739928315412187,1395
"Moulton, AL",0.3813375,8
"Blairs Mills, PA",n/a,0
"Herndon, PA",0.22464854586129754,2682
"Myerstown, PA",0.33792537313432836,938
"Honey Brook, PA",0.24108401253918496,638
"Fairfax, VA",0.328740748913868,14501
"Pasadena, TX",-0.004300000000000002,118
"West Yarmouth, MA",0.13976106800022994,17397
"New Hope, MN",0.258676401179941,2712
"Lehigh Acres, FL",0.07378888888888888,72
"Auburn, KY",0.26338284671532847,274
"Lewisport, KY",0.10794545454545455,11
"Kennewick, WA",0.43813888888888886,54
"Eureka, CA",0.22655465313028766,2955
"Fuquay Varina, NC",0.44225581395348834,43
"Boiling Springs, SC",0.19979211434204042,2029
"Kennesaw, GA",0.25478740920096854,413
"Woodstock, MD",0.5898166666666667,78
"Corpus Christi, TX",0.23309710005191722,26966
"Ellwood City, PA",0.1630423398328691,1436
"Forest City, PA",0.1683048888888889,450
"Suwanee, GA",0.2892171875,3456
"Damascus, PA",0.19124786324786325,234
"Indian Creek, IL",0.28483429203539823,452
"Lansing, IL",0.28092234375,1280
"Blaine, MN",0.24504776602633283,4633
"Conneaut, OH",0.185972972972973,37
"Wimberley, TX",0.2760218322866642,2707
"Weems, VA",0.33927539432176657,634
"Lawton, MI",n/a,0
"Milford, KS",-0.0025,4
"Brooksville, KY",0.38896129032258064,31
"Claysville, PA",0.12295350318471338,157
"Waukesha, WI",0.32904903225806453,155
"Gay, GA",0.24691549295774648,71
"Van Vleck, TX",0.2082,13
"Chesnee, SC",0.23079060109289617,915
"Mobile, AL",0.27266241610738257,40827
"Canastota, NY",0.2584877551020408,98
"New Fairfield, CT",n/a,0
"Solway, MN",n/a,0
"Falls Church, VA",0.3162474010973145,6927
"Brentwood, TN",0.26688349317210464,19186
"Bentonville, AR",0.2503390036776998,29910
"Dalton, PA",0.135896,700
"East Freedom, PA",0.6410583333333334,48
"Haverford, PA",0.44554285714285713,434
"White Lake, MI",0.2403050254916242,4119
"Aitkin, MN",0.29816735833998403,1253
"Garland, TX",0.39286767676767675,297
"Oakland, KY",0.16808046875,128
"Lawrenceville, NJ",0.3059137339055794,466
"Columbia, TN",0.48373135888501745,1148
"Costa Mesa, CA",0.472512955465587,741
"Ohatchee, AL",0.20215833333333333,12
"Kunkletown, PA",0.3143141975308642,648
"Dubuque, IA",0.04893492063492064,63
"Kutztown, PA",0.28020542857142855,1400
"Reston, VA",0.3019437754559943,5647
"Flourtown, PA",0.43388571428571426,518
"New Columbia, PA",0.2580972222222222,72
"Kensington, MN",0.12244999999999999,6
"Nephi, UT",n/a,0
"Frankfort, KY",0.25958145454545456,6875
"Hebron, KY",0.27083649974186885,1937
"Willow Grove, PA",0.2598568818514007,821
"Grand Bay, AL",0.2913504273504274,1755
"New Lenox, IL",0.2534804469273743,358
"Aurora, CO",0.2329389456477319,4894
"Chambersburg, PA",0.26285026636225267,7896
"Trappe, PA",0.3104180616740088,1362
"Youngstown, FL",0.4387,80
"Toms River, NJ",0.29821274238227147,722
"Manassas, VA",0.2911649954764777,13264
"Avon Lake, OH",0.38141071428571427,28
"West Branch, MI",0.14054,5
"Janesville, MN",n/a,0
"Delano, MN",0.2555073043478261,575
"Pensacola, FL",0.4905479674796748,246
"Huntsville, AL",0.2520110982333041,31924
"Basehor, KS",0.17284114583333335,192
"Fort Myers, FL",0.09256015660985721,2171
"Avondale, CO",0.0,12
"Veneta, OR",0.26665540983606556,610
"Evergreen, CO",0.33435800643086816,1555
"Kirkwood, PA",0.18752162162162164,74
"Deale, MD",0.24094754098360657,366
"Emmaus, PA",0.307038532675709,3244
"Freeport, PA",0.18748987341772153,158
"Rockledge, PA",0.4065506976744186,430
"Scranton, PA",0.24347153141361258,6112
"Tyrone, PA",0.14156315789473684,152
"Mocanaqua, PA",0.1529,26
"Jupiter, FL",0.28483429203539823,904
"Uniontown, PA",0.20991377777777778,450
"Hazle Township, PA",0.272180981595092,326
"Mount Pocono, PA",0.19691555555555554,90
"San Leandro, CA",0.14768694450585895,9046
"Emily, MN",0.18379036144578315,166
"Lakeside Marblehead, OH",0.17391674757281553,2472
"North Hollywood, CA",0.38824545454545456,33
"Yakima, WA",n/a,0
"Mount Washington, KY",0.2346051319648094,4092
"Claysburg, PA",0.228388,25
"Westview, KY",0.0,1
"Sandy, UT",0.30443539695057836,7612
"Union, KY",0.4070978093306288,2465
"Cross Hill, SC",0.34713076923076924,130
"Trinity, AL",0.27119322709163346,251
"Winfield, AL",0.3029965210355987,1236
"Glen Allen, VA",0.29637983302895904,7666
"New City, NY",0.4096086206896552,116
"Lock Haven, PA",0.1772151712887439,1226
"Wallingford, PA",0.33420956937799046,418
"West Milton, PA",n/a,0
"Norman, OK",0.3415155656159177,17892
"Russellton, PA",0.19936739130434783,92
"Crossville, TN",0.4309,6
"Broken Arrow, OK",0.1538104768786127,1384
"Fisher, IL",0.09686153846153846,13
"Kirkland, IL",0.0,4
"Murfreesboro, TN",0.3656671361502347,213
"Westfield, IN",0.38929149689991144,2258
"Pittsburg, KS",0.2275604966139955,443
"Grand Haven, MI",0.21676282051282053,78
"Dry Ridge, KY",0.37281717902350814,1106
"Aspen, CO",0.2700890929965557,6968
"Spottsville, KY",0.11711666666666667,24
"New Hope, AL",0.3956853211009174,218
"Elmore, AL",0.14608656716417912,201
"Florala, AL",-0.0025,8
"Lakewood, CO",0.299786773255814,688
"Eynon, PA",0.3992251851851852,542
"Georgetown, PA",0.23576143187066975,3464
"Willmar, MN",0.256362249614792,649
"Uncasville, CT",0.26483875,80
"Long Lake, MN",0.2806408071748879,223
"Gibbon, MN",0.030190000000000012,10
"Rohnert Park, CA",0.3293994236311239,1041
"Hastings, MN",0.27899001512859306,1324
"Champlin, MN",0.24282398676592226,1209
"Sonora, TX",n/a,0
"Grand Prairie, TX",0.1776503717472119,538
"Lawrenceburg, KY",0.2599073905109489,1096
"Central City, KY",0.15629019607843136,51
"Newton, MA",0.4880676478690331,25411
"Caney, KS",0.3049,1452
"Symsonia, KY",0.2581,70
"Earle, AR",0.0,7
"Raeford, NC",0.25970246913580247,81
"Apollo, PA",0.2532270935960591,812
"Seguin, TX",0.23559360863855247,6853
"Throop, PA",0.2649735294117647,340
"Lansford, PA",0.0883088888888889,270
"Dysart, PA",0.25388793103448276,116
"Upper Darby, PA",0.2878482573726542,746
"Eagle Lake, MN",0.09009893992932863,283
"Mamaroneck, NY",0.401189058524173,786
"Dennison, MN",0.11965,8
"Valley View, TX",0.480225,80
"Woodway, TX",0.28260927493559074,5434
"Cedar City, UT",0.2052410858995138,1234
"Strawn, TX",n/a,0
"Greenup, KY",0.19671951219512196,41
"Livonia, MI",0.31776666666666664,72
"Cassville, MO",0.12462954545454547,352
"Litchfield Park, AZ",0.21571460674157303,2759
"Southgate, KY",0.4983860975609756,820
"Gadsden, AL",0.24260004074149522,4909
"Langston, AL",0.17687920642893018,1991
"Sumiton, AL",0.6208117647058824,17
"Chaffee, MO",0.07574,10
"Hollister, MO",0.32714493996569466,583
"Drums, PA",0.24856305404632542,3497
"Northfield, OH",0.5009384615384616,260
"Mc Alisterville, PA",0.3226047619047619,42
"Natrona Heights, PA",0.3101058897243108,1596
"Champaign, IL",0.265069262295082,732
"Hanover, MN",0.3116631818181818,220
"Middleton, MA",0.21483846153846153,286
"Clearwater, MN",0.25032333333333334,30
"London, OH",-0.059848571428571425,35
"Blythewood, SC",0.5251009436744323,3391
"Falmouth, KY",0.11356428571428573,112
"Fort Walton Beach, FL",0.35125375,80
"Viola, KS",0.0,2
"Adams Run, SC",0.0,1
"Aynor, SC",0.31708295081967214,305
"Six Mile, SC",0.3260647435897436,312
"Holly Springs, NC",0.33623333333333333,87
"Leesville, SC",0.24752618243243243,592
"Cammack Village, AR",0.26504,65
"Weaver, AL",0.22041505016722407,299
"Oakland, MN",0.13244778761061946,452
"Willis, TX",0.20219975708502025,6176
"Tye, TX",n/a,0
"Clarksville, MD",0.24666324786324786,117
"Coxs Creek, KY",0.3000419512195122,205
"Junction City, KY",0.18357692307692308,104
"Owatonna, MN",0.22644192782526115,2106
"Yancey, TX",n/a,0
"Flower Mound, TX",0.2957096573208723,321
"Atkins, AR",0.12812727272727273,11
"Spanish Fort, AL",0.2792308333333333,1680
"Pell City, AL",0.2107578826237054,2607
"Unknown, OK",n/a,0
"Cumming, GA",0.39749762470308786,842
"Grapeville, PA",0.3515125,112
"Hollywood, SC",0.3130361875637105,981
"Markleysburg, PA",0.20759999999999998,12
"Stoystown, PA",-0.002,10
"Mount Pleasant, SC",0.3990404747596154,13312
"West Sunbury, PA",0.007328571428571436,98
"Lakeville, MN",0.2769302133306114,9797
"Harwood Heights, IL",0.3812302631578947,76
"Palestine, TX",0.35845869565217386,46
"Pea Ridge, AR",0.051149462365591404,93
"Cobleskill, NY",0.029143750000000003,16
"Vineyard, UT",0.3528162583518931,449
"Rock Hill, SC",0.29475739616866325,18949
"Grand Junction, MI",0.3593833333333334,12
"Monetta, SC",0.2582107238605898,373
"Semmes, AL",0.3756303734061931,4392
"Altoona, PA",0.2755549295774648,2414
"Rembert, SC",0.2629548172757475,602
"Santa Rosa, CA",0.34381975308641977,1215
"Creighton, PA",0.236875,304
"Lawrence, PA",0.23508323798627,3496
"Hazleton, PA",0.08013617021276595,188
"Herminie, PA",0.2484978021978022,182
"Bethel, MN",0.3056358974358974,156
"Poultney, VT",0.1375142857142857,112
"Eagle Bend, MN",0.17682857142857145,14
"Bountiful, UT",0.22764372093023255,3440
"Slaton, TX",n/a,0
"Kelayres, PA",-0.018571428571428572,21
"Pleasanton, KS",0.2172265306122449,147
"Catlettsburg, KY",0.33122500000000005,8
"Paxico, KS",0.2202,2
"Fancy Farm, KY",0.15048585526315789,304
"Reno, NV",0.19351739130434784,69
"Bradford, RI",0.3117027118644068,295
"Fort Smith, AR",0.24049141791044776,4824
"Richardson, TX",0.26557411764705885,170
"Davenport, IA",0.32824843918191604,929
"Pineville, LA",0.2316931112365895,5313
"Natick, MA",0.30391205722070846,2936
"Brooksville, ME",0.40192666666666665,30
"Dublin, PA",0.19880311526479752,3210
"Bogart, GA",0.24055652173913042,23
"Hollywood, AL",0.0,5
"Cape Girardeau, MO",0.282932408691632,4326
"Lorain, OH",0.3063593220338983,59
"Lehighton, PA",0.22179282769991757,2426
"Spring Branch, TX",0.2800284467713787,1146
"Plymouth Meeting, PA",0.3718844257703081,5355
"Columbus, OH",0.49894629629629633,108
"Stewartstown, PA",0.3280676400476758,1678
"Topton, PA",0.34896875,96
"Los Gatos, CA",0.24619453024453025,4662
"Williamston, MI",0.2748982588235294,2125
"Lansdowne, PA",0.3325144396551724,928
"Pine Grove, PA",0.23605149253731345,536
"Roaring Brook Twp, PA",-0.7039,6
"Lilly, PA",0.22481619402985073,2680
"Mineral Point, PA",0.3822076923076923,26
"Saxton, PA",0.4603532731376975,886
"Big Lake, MN",0.4175978787878788,660
"Avon, MN",0.3267924623115578,398
"Clearfield, UT",0.24744557535959977,6396
"Park City, KY",0.8306,1
"Scottsville, KY",0.2542509505703422,263
"Russellville, KY",0.18818157894736842,76
"Portland, TX",0.27336830985915495,142
"Beaufort, SC",0.31473333753784055,7929
"Belvedere, CA",0.14504324324324325,222
"Collinsville, AL",0.02261578947368421,38
"Double Springs, AL",0.39403921568627454,51
"Smiths Station, AL",0.36949093866171007,2152
"Jacksons Gap, AL",0.1653,40
"Wilsonville, OR",0.3069883435582822,1304
"Athens, PA",0.13485092592592593,216
"Jermyn, PA",0.30105689655172413,116
"Marion Heights, PA",0.21986363636363637,22
"South Fork, PA",0.21841964809384165,682
"Lake Ariel, PA",0.28767384105960264,302
"Duquesne, PA",0.11441846153846154,130
"Sutersville, PA",0.1873304347826087,92
"Landenberg, PA",0.34767469725940087,3138
"Herscher, IL",0.12556176470588234,34
"Cerritos, CA",0.24563674540682412,762
"Valparaiso, IN",1.3497,1
"Newport, MN",0.29739076923076924,260
"Easley, SC",0.28011372718125627,6957
"Clemson, SC",0.33491101083032493,1108
"Vinemont, AL",0.20695299539170506,217
"Jacksonville, AL",0.34947250608272507,411
"Mineral Wells, WV",0.0,2
"Pineland, SC",0.0,4
"Bear Lake, PA",n/a,0
"Virginia Beach, VA",0.23385863039399624,13858
"Sharon, PA",0.2864241379310345,116
"Millerstown, PA",0.23782,10
"Linden, PA",0.2988935582822086,652
"Manchester, PA",0.2849698729582577,1102
"Sugar Grove, PA",0.4212294117647059,34
"Willow Creek, CA",0.24136063829787235,1504
"Monroeton, PA",0.21902089552238807,737
"Woodhaven, MI",0.18451161731207288,439
"Union City, GA",0.23069333333333333,15
"Cold Spring, MN",0.3068207547169811,53
"Frazee, MN",0.09689574468085106,95
"Meadowlakes, TX",0.31682802197802196,546
"Webster, TX",0.27951421686746986,2490
"Sinton, TX",n/a,0
"Fulton, KY",0.43934422018348623,545
"Ruidoso Downs, NM",n/a,0
"Maysville, KY",0.3290448,625
"Alvaton, KY",0.23660278940027896,717
"Roswell, GA",0.41110754310344827,928
"Bakersfield, CA",0.20289071701879888,6011
"Orr, MN",0.224771921182266,203
"Stanford, KY",0.3413722929936306,314
"Warwick, RI",0.3229255499541705,4364
"Daufuskie Island, SC",0.5644125615763547,406
"Southampton, PA",0.18240384615384617,104
"Augusta-Richmond County cons gov bal, GA",0.23792857142857143,105
"Fosters, AL",0.12238444444444445,45
"Gordo, AL",-0.18814,5
"Heber Springs, AR",0.17665263157894737,19
"Mount Pleasant, TN",0.26340808510638297,470
"Allison Park, PA",0.31980010254306807,4876
"Elverson, PA",0.3975214975845411,828
"Erie, CO",0.3669132703777336,4024
"Rydal, PA",0.2506787037037037,864
"Kingston, PA",0.29546667774086377,3010
"Nottingham, PA",0.34353632286995517,892
"Spring Brook Township, PA",0.0857923076923077,26
"Gillett, PA",-0.0014285714285714286,14
"Arcadia, IN",n/a,0
"Palm Bay, FL",0.23042818532818535,11396
"Newport, PA",0.33403269230769234,208
"Sanford, FL",n/a,0
"Hadley, PA",0.2676725,80
"Plains, PA",0.1787222891566265,332
"Hoopeston, IL",0.29188285714285717,35
"Crystal, MN",0.3076942748091603,524
"Silsbee, TX",0.29824418604651165,86
"Sunrise Beach, TX",0.20698484848484847,66
"Partridge, KS",0.17799615384615383,26
"Calvert City, KY",0.2155490909090909,55
"South San Francisco, CA",0.30864932853717025,4170
"La Center, KY",0.0,2
"Adairville, KY",0.3362702127659575,141
"Clay City, KY",0.30791052631578947,19
"Nicollet, MN",0.11962222222222224,45
"Water Valley, KY",0.0,5
"Peoa, UT",0.39247777777777776,9
"Fair Play, SC",0.34346088888888887,225
"Clarkston, GA",0.07696349206349207,63
"Helmetta, NJ",0.2572734265734266,286
"Donaldson, AR",0.374765,20
"Eastaboga, AL",0.27295940594059404,101
"Waterbury, CT",0.1995893581081081,592
"Aliquippa, PA",0.27809034879783273,5906
"Bethany, PA",0.24387349397590363,830
"Marietta, GA",0.2923718167872014,4563
"Dublin, CA",0.3798566625766871,12225
"Port Royal, PA",0.33043346153846154,520
"Tyler, TX",0.3018709459710016,26967
"Mount Bethel, PA",0.297457619047619,420
"Chickamauga, GA",0.15708384615384616,130
"East Calais, VT",0.19942432432432433,74
"Wixom, MI",0.32523535087719296,1140
"Trent, TX",n/a,0
"Yantis, TX",0.3614423076923077,156
"Morehead, KY",0.1604083969465649,131
"Bay Minette, AL",0.2699884935654807,2642
"Bedford, TX",0.0889804781923279,3806
"Sharpsburg, KY",0.0,6
"Roslyn, NY",0.2119912359550562,1780
"Hiram, GA",0.35445132183908046,3496
"Vestavia, AL",0.3757952218430034,2930
"Ardmore, PA",0.33072386363636364,704
"Everson, PA",0.007120689655172412,58
"Normalville, PA",0.3121759538598048,2254
"Shirleysburg, PA",n/a,0
"Upland, PA",0.4041364754098361,488
"Hunker, PA",0.2776203883495146,206
"Meadville, PA",0.28062476190476193,420
"Seven Fields, PA",0.34807880794701984,604
"Geneseo, IL",0.20114628820960698,458
"Macomb, IL",0.227572782369146,1815
"Cottonwood, MN",0.08082142857142857,28
"Annandale, MN",0.3719429012345679,324
"Marine, IL",0.3882189655172414,58
"Washington Terrace, UT",n/a,0
"Burlington, VT",n/a,0
"Silver Lake, KS",0.259325,432
"Mc Louth, KS",0.23352499999999998,12
"Belle Chasse, LA",0.3064371193415638,2430
"Beech Island, SC",0.2611728346456693,762
"Catawba, SC",0.38880263157894734,76
"Battlefield, MO",0.17396524390243903,164
"Warren, OH",0.3825676604953114,4159
"Marysville, PA",0.16112565217391303,460
"Reynoldsville, PA",0.15553,40
"Walnutport, PA",0.31429999999999997,14
"Alabaster, AL",0.27042716615980095,18089
"Burgettstown, PA",0.2693326923076923,522
"Westbury, NY",0.26801160220994474,4344
"Hutchinson, MN",0.2453850963429021,2543
"Wyoming, MI",0.29556643835616436,4526
"Weatherford, TX",0.32948938493537366,13464
"Okemos, MI",0.1991701086956522,368
"Venus, TX",0.3408801111111111,900
"Weimar, TX",n/a,0
"Leitchfield, KY",0.15291233766233767,154
"Rantoul, KS",0.052743749999999985,16
"Abbeville, LA",0.2562679873217116,631
"Raymore, MO",0.2641288850869689,3507
"Gladstone, MI",0.5003551724137931,29
"Austin, AR",0.23565705458290423,1942
"Corning, AR",0.11936666666666668,24
"Phoenixville, PA",0.3123426345609065,3530
"Spartansburg, PA",0.0,8
"Millersburg, PA",0.13291818181818182,176
"Morris, PA",0.22420877581120943,2712
"Oak Creek, WI",0.23115180722891565,166
"Houston, PA",0.35080744680851067,188
"Sugarloaf, PA",0.04870545454545455,110
"Norfolk, VA",0.24773486283078416,41193
"Welch, MN",0.15472588235294119,255
"La Grange, IL",0.27992242990654204,321
"Lake Barrington, IL",0.3552676470588235,374
"Campbellsville, KY",0.265732647702407,6857
"Linthicum Heights, MD",0.2911770868347339,10710
"Okeechobee, FL",0.14743209064327487,5472
"New Prague, MN",0.24979938080495356,323
"Laredo, TX",0.08989583333333334,24
"Cunningham, KY",0.4665303571428571,56
"Somerset, NJ",-0.09512765957446809,47
"Millington, NJ",0.149384,100
"Roebuck, SC",0.2470093229744728,901
"Campobello, SC",0.2851949519230769,416
"Thomasville, PA",0.2939782608695652,46
"Cordesville, SC",0.23192857142857146,7
"Cedar Bluff, AL",0.18983333333333333,42
"Titus, AL",0.109936,100
"Rugby, ND",n/a,0
"Hamilton, NY",0.43142359208523595,1314
"Baton Rouge, LA",0.2794465063059398,39328
"Tioga, PA",0.094076,50
"Falls Creek, PA",0.22481619402985073,2680
"Hopwood, PA",0.1382905882352941,170
"Sarasota, FL",0.3501579240506329,1975
"Mohrsville, PA",0.16559945799457995,738
"North East, MD",0.31491824324324325,444
"North Huntingdon, PA",0.44353007518796994,532
"Frederick, CO",0.2843149425287356,87
"Glenwood, MN",0.0,5
"Belgrade, MN",0.116325,4
"Coffeyville, KS",0.26874161237785016,12280
"Victorville, CA",0.3874353535353535,198
"Baltimore, OH",0.24701428571428571,35
"Wallis, TX",0.1810604166666667,48
"Carlisle, KY",0.23304693333333334,375
"Fall River, MA",0.3126904894259819,8275
"Ruston, LA",0.37025813953488373,43
"Society Hill, SC",0.40619285714285713,56
"England, AR",0.13228125,16
"Marion Junction, AL",0.24296351351351353,74
"Middleton, TN",0.299096,50
"Bala Cynwyd, PA",0.24002956878850104,974
"Westlake, OR",n/a,0
"Montecito, CA",0.1401487804878049,82
"Downingtown, PA",0.33822871762740186,9576
"Mead, WA",0.2893657969192078,3181
"Granite Falls, NC",0.24296351351351353,148
"Forest Grove, OR",0.3661020217729393,643
"Coudersport, PA",0.11452999999999999,100
"Lester Prairie, MN",0.22460149253731343,67
"Copan, OK",0.12115714285714285,56
"Powder Springs, GA",0.2776647058823529,34
"Owingsville, KY",0.11110833333333334,12
"Youngwood, PA",0.149274375,160
"Webster, KY",0.3301133333333333,15
"Sedalia, KY",0.3522777777777778,9
"Creedmoor, NC",0.15236764705882352,340
"Shelbyville, IN",0.20024166666666668,360
"Daleville, AL",0.29331267605633804,213
"Demopolis, AL",0.4385307692307692,13
"Oakman, AL",0.4143546075085324,293
"Midway, TN",-0.0025,8
"Winston, OR",0.17646720647773279,494
"Richfield, PA",0.0,6
"Mason City, IA",0.13095454545454546,132
"Lafayette Hill, PA",0.42538888888888887,432
"Jeffersonville, NY",-0.04012608695652173,92
"Oberlin, PA",0.226225,48
"Glen Riddle, PA",0.2643490909090909,110
"Fairview Heights, IL",0.18545117599351177,1233
"Granite Falls, MN",0.33401315789473685,608
"Baxter, MN",0.17553501400560223,357
"Shavano Park, TX",n/a,0
"New Meadows, ID",n/a,0
"New Rochelle, NY",0.20251975308641976,162
"Vinton, OH",0.5106,3
"Williamsburg, KY",0.29621000000000003,30
"Richfield, UT",0.0,2
"Madisonville, KY",-0.011362500000000003,64
"Atascadero, CA",0.45193714285714287,245
"Waterford, CT",0.17061485849056604,424
"Yachats, OR",0.2916985294117647,136
"Blairsville, PA",0.032809433962264156,106
"Volant, PA",n/a,0
"Normal, IL",0.2393004414189225,18803
"Oakmont, PA",0.2881302919708029,1644
"Highlands Ranch, CO",0.24730730158730158,1260
"Carrolltown, PA",0.0,4
"Sumter, SC",0.2668070243273723,6208
"Flinton, PA",0.0,10
"Mansfield, PA",0.11563648648648649,148
"Souderton, PA",0.3014588235294118,1088
"Wilmette, IL",0.6102825,40
"Mount Vernon, WA",0.18628265895953758,173
"Cannon Falls, MN",0.1817175,120
"Topeka, KS",0.27256467046894806,31561
"Hartford, IL",0.14225,48
"Lake Forest, IL",0.24427573495100327,2143
"Clear Lake, MN",0.17280122414520896,2369
"Somerset, TX",0.21660183486238532,1308
"Hopewell, NJ",0.2112716049382716,162
"Monongahela, PA",0.16524343891402715,221
"Vanceburg, KY",0.0,4
"Windham, ME",0.3453947368421053,38
"Hamden, CT",0.35969078498293516,586
"Goshen, AL",0.26264571428571426,35
"Gravois Mills, MO",0.313868023255814,172
"Elliottsburg, PA",0.0,4
"Lebanon, PA",0.2641858024691358,4212
"Warren, VT",0.0,35
"Cushing, MN",-0.001649999999999971,4
"Lake Villa, IL",0.3703114109050028,1779
"Kenyon, MN",-0.0025,4
"Independence, OH",0.21989450261780105,764
"Merriam, KS",0.23751828793774318,257
"League City, TX",0.44482857142857146,63
"Dayton, OH",0.29789512195121953,82
"Tomball, TX",0.26140239043824703,251
"Rowlett, TX",0.4299923076923077,65
"Stockton, CA",0.127975,68
"Coden, AL",0.38343957597173145,283
"Wetumpka, AL",0.27490501563896336,8952
"Selma, AL",0.34314594982078855,2790
"Abbottstown, PA",0.23053153153153152,111
"Cleveland, OH",0.24000239551478084,1962
"Greencastle, PA",0.27247949479940564,2019
"Long Pond, PA",0.2702485948477752,1708
"Glassport, PA",0.16019018404907975,326
"Crofton, MD",0.250401702915317,10805
"Danielsville, GA",0.12700980392156863,102
"Tannersville, PA",0.18392480620155038,774
"Salix, PA",0.6165333333333333,6
